[  260.415673]  + module is loaded.
[  260.416306] +pid=   38, comm=    migration/5, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=    0, static_prio=  120, normal_prio=    0, rt_priority=   99, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416321] +pid=   39, comm=    ksoftirqd/5, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416335] +pid=   40, comm=    kworker/5:0, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416353] +pid=   41, comm=   kworker/5:0H, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416370] +pid=   42, comm=        cpuhp/6, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=  10000000 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416386] +pid=   43, comm=    migration/6, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=    0, static_prio=  120, normal_prio=    0, rt_priority=   99, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416449] +pid=   44, comm=    ksoftirqd/6, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416468] +pid=   45, comm=    kworker/6:0, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416487] +pid=   46, comm=   kworker/6:0H, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, static_prio=  100, normal_prio=  100, rt_priority=    0, state= 1026 (I), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416505] +pid=   47, comm=        cpuhp/7, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, static_prio=  120, normal_prio=  120, rt_priority=    0, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[  260.416521] +pid=   48, comm=    migration/7, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=    0, static_prio=  120, normal_prio=    0, rt_priority=   99, state=    1 (S), exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=  20000000 flags: [FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
