[ 2578.498318] +pid=  467, comm= kworker/u519:3, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=  99687599 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.498340] +pid=  476, comm=systemd-userdbd, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=  22236624, stime=  38905022 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.498358] +pid=  480, comm=         psimon, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=   98, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD ]
[ 2578.498376] +pid=  483, comm=  systemd-udevd, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime= 201151104, stime= 269076408 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.498664] +pid=  505, comm=    kworker/1:3, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime= 138879003 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.498690] +pid=  508, comm=         psimon, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=1, prio=   98, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC NOFREEZE KTHREAD ]
[ 2578.498711] +pid=  566, comm=    jbd2/sda1-8, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=    875110 flags: [FORKNOEXEC MEMALLOC_NOFS KTHREAD ]
[ 2578.498728] +pid=  567, comm=kworker/R-ext4-, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.498749] +pid=  577, comm=kworker/R-crypt, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.498770] +pid=  578, comm=    kworker/2:2, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  120, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.498791] +pid=  601, comm=dbus-broker-lau, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=  21647456, stime=  32012746 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.498808] +pid=  603, comm=    dbus-broker, ppid=  601, parentcomm=dbus-broker-lau, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=  65085083, stime= 124559373 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.498885] +pid=  604, comm= NetworkManager, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=  73854242, stime= 127056039 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.498902] +pid=  605, comm=         dhcpcd, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=   8270854, stime=  34763592 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.498917] +pid=  606, comm= systemd-logind, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=  54808259, stime=  85673901 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.499112] +pid=  607, comm=vmware-vmblock-, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state= 8193, exit_state=0, exit_code=0, exit_signal=   17, utime=   6598021, stime=   8352637 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.499245] +pid=  618, comm=         dhcpcd, ppid=  605, parentcomm=         dhcpcd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=   1828241, stime=   8437881 flags: [FORKNOEXEC SUPERPRIV RANDOMIZE ]
[ 2578.499264] +pid=  619, comm=         dhcpcd, ppid=  605, parentcomm=         dhcpcd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC SUPERPRIV RANDOMIZE ]
[ 2578.499281] +pid=  620, comm=         dhcpcd, ppid=  605, parentcomm=         dhcpcd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [FORKNOEXEC SUPERPRIV RANDOMIZE ]
[ 2578.499298] +pid=  640, comm=           sddm, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=  30631936, stime= 113645178 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.499314] +pid=  641, comm=       vmtoolsd, ppid=    1, parentcomm=        systemd, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime=1313539798, stime= 861990256 flags: [SUPERPRIV RANDOMIZE ]
[ 2578.499478] +pid=  674, comm=kworker/R-cfg80, ppid=    2, parentcomm=       kthreadd, on_cpu=    0, policy=0, prio=  100, state= 1026, exit_state=0, exit_code=0, exit_signal=   17, utime=         0, stime=         0 flags: [WQ_WORKER FORKNOEXEC NOFREEZE KTHREAD NO_SETAFFINITY ]
[ 2578.499506] +pid=  689, comm=           Xorg, ppid=  640, parentcomm=           sddm, on_cpu=    0, policy=0, prio=  120, state=    1, exit_state=0, exit_code=0, exit_signal=   17, utime= 119413758, stime= 728094909 flags: [SUPERPRIV RANDOMIZE ]
